,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
1793-03-01,,19.39,,,,,,,,,,,,,,,
1793-06-01,,19.39,,,,,,,,,,,,,,,
1793-09-01,,19.39,,,,,,,,,,,,,,,
1793-12-01,,19.39,,,,,,,,,,,,,,,
1794-03-01,,19.39,,,,,,,,,,,,,,,
1794-06-01,,19.39,,,,,,,,,,,,,,,
1794-09-01,,19.39,,,,,,,,,,,,,,,
1794-12-01,,19.39,,,,,,,,,,,,,,,
1795-03-01,,19.39,,,,,,,,,,,,,,,
1795-06-01,,19.39,,,,,,,,,,,,,,,
1795-09-01,,19.39,,,,,,,,,,,,,,,
1795-12-01,,19.39,,,,,,,,,,,,,,,
1796-03-01,,19.39,,,,,,,,,,,,,,,
1796-06-01,,19.39,,,,,,,,,,,,,,,
1796-09-01,,19.39,,,,,,,,,,,,,,,
1796-12-01,,19.39,,,,,,,,,,,,,,,
1797-03-01,,19.39,,,,,,,,,,,,,,,
1797-06-01,,19.39,,,,,,,,,,,,,,,
1797-09-01,,19.39,,,,,,,,,,,,,,,
1797-12-01,,19.39,,,,,,,,,,,,,,,
1798-03-01,,19.39,,,,,,,,,,,,,,,
1798-06-01,,19.39,,,,,,,,,,,,,,,
1798-09-01,,19.39,,,,,,,,,,,,,,,
1798-12-01,,19.39,,,,,,,,,,,,,,,
1799-03-01,,19.39,,,,,,,,,,,,,,,
1799-06-01,,19.39,,,,,,,,,,,,,,,
1799-09-01,,19.39,,,,,,,,,,,,,,,
1799-12-01,,19.39,,,,,,,,,,,,,,,
1800-03-01,,19.39,,,,,,,,,,,,,,,
1800-06-01,,19.39,,,,,,,,,,,,,,,
1800-09-01,,19.39,,,,,,,,,,,,,,,
1800-12-01,,19.39,,,,,,,,,,,,,,,
1801-03-01,,19.39,,,,,,,,,,,,,,,
1801-06-01,,19.39,,,,,,,,,,,,,,,
1801-09-01,,19.39,,,,,,,,,,,,,,,
1801-12-01,,19.39,,,,,,,,,,,,,,,
1802-03-01,,19.39,,,,,,,,,,,,,,,
1802-06-01,,19.39,,,,,,,,,,,,,,,
1802-09-01,,19.39,,,,,,,,,,,,,,,
1802-12-01,,19.39,,,,,,,,,,,,,,,
1803-03-01,,19.39,,,,,,,,,,,,,,,
1803-06-01,,19.39,,,,,,,,,,,,,,,
1803-09-01,,19.39,,,,,,,,,,,,,,,
1803-12-01,,19.39,,,,,,,,,,,,,,,
1804-03-01,,19.39,,,,,,,,,,,,,,,
1804-06-01,,19.39,,,,,,,,,,,,,,,
1804-09-01,,19.39,,,,,,,,,,,,,,,
1804-12-01,,19.39,,,,,,,,,,,,,,,
1805-03-01,,19.39,,,,,,,,,,,,,,,
1805-06-01,,19.39,,,,,,,,,,,,,,,
1805-09-01,,19.39,,,,,,,,,,,,,,,
1805-12-01,,19.39,,,,,,,,,,,,,,,
1806-03-01,,19.39,,,,,,,,,,,,,,,
1806-06-01,,19.39,,,,,,,,,,,,,,,
1806-09-01,,19.39,,,,,,,,,,,,,,,
1806-12-01,,19.39,,,,,,,,,,,,,,,
1807-03-01,,19.39,,,,,,,,,,,,,,,
1807-06-01,,19.39,,,,,,,,,,,,,,,
1807-09-01,,19.39,,,,,,,,,,,,,,,
1807-12-01,,19.39,,,,,,,,,,,,,,,
1808-03-01,,19.39,,,,,,,,,,,,,,,
1808-06-01,,19.39,,,,,,,,,,,,,,,
1808-09-01,,19.39,,,,,,,,,,,,,,,
1808-12-01,,19.39,,,,,,,,,,,,,,,
1809-03-01,,19.39,,,,,,,,,,,,,,,
1809-06-01,,19.39,,,,,,,,,,,,,,,
1809-09-01,,19.39,,,,,,,,,,,,,,,
1809-12-01,,19.39,,,,,,,,,,,,,,,
1810-03-01,,19.39,,,,,,,,,,,,,,,
1810-06-01,,19.39,,,,,,,,,,,,,,,
1810-09-01,,19.39,,,,,,,,,,,,,,,
1810-12-01,,19.39,,,,,,,,,,,,,,,
1811-03-01,,19.39,,,,,,,,,,,,,,,
1811-06-01,,19.39,,,,,,,,,,,,,,,
1811-09-01,,19.39,,,,,,,,,,,,,,,
1811-12-01,,19.39,,,,,,,,,,,,,,,
1812-03-01,,19.39,,,,,,,,,,,,,,,
1812-06-01,,19.39,,,,,,,,,,,,,,,
1812-09-01,,19.39,,,,,,,,,,,,,,,
1812-12-01,,19.39,,,,,,,,,,,,,,,
1813-03-01,,19.39,,,,,,,,,,,,,,,
1813-06-01,,19.39,,,,,,,,,,,,,,,
1813-09-01,,19.39,,,,,,,,,,,,,,,
1813-12-01,,19.39,,,,,,,,,,,,,,,
1814-03-01,,19.39,,,,,,,,,,,,,,,
1814-06-01,,19.39,,,,,,,,,,,,,,,
1814-09-01,,21.79,,,,,,,,,,,,,,,
1814-12-01,,21.79,,,,,,,,,,,,,,,
1815-03-01,,21.79,,,,,,,,,,,,,,,
1815-06-01,,19.78,,,,,,,,,,,,,,,
1815-09-01,,23.07,,,,,,,,,,,,,,,
1815-12-01,,22.16,,,,,,,,,,,,,,,
1816-03-01,,22.16,,,,,,,,,,,,,,,
1816-06-01,,22.16,,,,,,,,,,,,,,,
1816-09-01,,19.74,,,,,,,,,,,,,,,
1816-12-01,,19.84,,,,,,,,,,,,,,,
1817-03-01,,19.84,,,,,,,,,,,,,,,
1817-06-01,,19.89,,,,,,,,,,,,,,,
1817-09-01,,19.39,,,,,,,,,,,,,,,
1817-12-01,,19.39,,,,,,,,,,,,,,,
1818-03-01,,19.39,,,,,,,,,,,,,,,
1818-06-01,,19.39,,,,,,,,,,,,,,,
1818-09-01,,19.39,,,,,,,,,,,,,,,
1818-12-01,,19.39,,,,,,,,,,,,,,,
1819-03-01,,19.39,,,,,,,,,,,,,,,
1819-06-01,,19.39,,,,,,,,,,,,,,,
1819-09-01,,19.39,,,,,,,,,,,,,,,
1819-12-01,,19.39,,,,,,,,,,,,,,,
1820-03-01,,19.39,,,,,,,,,,,,,,,
1820-06-01,,19.39,,,,,,,,,,,,,,,
1820-09-01,,19.39,,,,,,,,,,,,,,,
1820-12-01,,19.39,,,,,,,,,,,,,,,
1821-03-01,,19.39,,,,,,,,,,,,,,,
1821-06-01,,19.39,,,,,,,,,,,,,,,
1821-09-01,,19.39,,,,,,,,,,,,,,,
1821-12-01,,19.39,,,,,,,,,,,,,,,
1822-03-01,,19.39,,,,,,,,,,,,,,,
1822-06-01,,19.39,,,,,,,,,,,,,,,
1822-09-01,,19.39,,,,,,,,,,,,,,,
1822-12-01,,19.39,,,,,,,,,,,,,,,
1823-03-01,,19.39,,,,,,,,,,,,,,,
1823-06-01,,19.39,,,,,,,,,,,,,,,
1823-09-01,,19.39,,,,,,,,,,,,,,,
1823-12-01,,19.39,,,,,,,,,,,,,,,
